n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score
0,18,0.1793291317602221,1,2,1200,0.8919460902414471
0,19,0.18401368051967254,1,2,1200,0.8919350728244904
0,18,0.17625615215975704,1,2,1200,0.8919460902414471
0,19,0.1846799013757229,1,2,1200,0.8919350728244904
0,19,0.18210472010422618,1,2,1200,0.8919350728244904
1,18,0.8501865531206492,1,2,397,0.8721927035871065
0,19,0.18564177068083762,1,2,1200,0.891666053607753
0,18,0.17803908284949582,1,2,1200,0.8919460902414471
0,18,0.17582259258842048,1,2,1200,0.8919460902414471
0,19,0.18362349945863443,1,2,1200,0.8919350728244904
0,19,0.18405868310571552,1,2,1200,0.8919350728244904
0,16,0.5571040491136953,1,3,263,0.8845843263198544
0,19,0.18635362618126866,1,2,1200,0.891666053607753
0,18,0.18046447367443458,1,2,1200,0.8919460902414471
0,18,0.1749996991094459,1,2,1200,0.8919460902414471
0,19,0.18157570170399953,1,2,1200,0.8919350728244904
0,18,0.17716573973347652,1,2,1200,0.8919460902414471
0,15,0.16982849272949557,1,20,1191,0.8763304410942396
0,18,0.17069833219765834,1,2,1200,0.8919460902414471
0,18,0.17616414223261279,1,2,1200,0.8919460902414471
1,15,0.24338886973203455,1,4,834,0.8796982704913882
0,18,0.17681642777870177,1,2,1200,0.8919460902414471
0,18,0.17978666461492887,1,2,1200,0.8919460902414471
0,18,0.1781505233892865,1,2,1200,0.8919460902414471
0,18,0.17730285721981504,1,2,1200,0.8919460902414471
0,18,0.1751248745988796,1,2,1200,0.8919460902414471
0,18,0.17813982554243216,1,2,1200,0.8919460902414471
0,18,0.17375388391708213,1,2,1200,0.8919460902414471
0,18,0.17853202406139293,1,2,1200,0.8919460902414471
0,18,0.1792141354538206,1,2,1200,0.8919460902414471
0,18,0.1777140333590811,1,2,1200,0.8919460902414471
0,19,0.18011829756475517,1,2,1200,0.8919350728244904
0,19,0.17974660226947584,1,2,1200,0.8919350728244904
