True_Label,Predicted_Label,Class_Probabilities
2,2,"[0.021666666666666667, 0.0075, 0.9691666666666666, 0.0016666666666666668]"
0,0,"[0.43098666975849775, 0.1520469401313435, 0.043333333333333335, 0.3736330567768254]"
0,0,"[0.8660901975526581, 0.05419818057368522, 0.02094467813405236, 0.05876694373960408]"
3,3,"[0.07518435643147815, 0.026886565995846427, 0.011952718062373439, 0.8859763595103023]"
0,0,"[0.7515584936853548, 0.1593934917500672, 0.05982810870668436, 0.02921990585789361]"
0,0,"[0.9698604392106938, 0.016806227455972843, 0.013333333333333334, 0.0]"
0,0,"[0.8006363883045463, 0.1371109471002189, 0.01730585720103143, 0.044946807394203245]"
1,1,"[0.28736204127969617, 0.5807873824314871, 0.11584284432339774, 0.016007731965419054]"
0,0,"[0.8635287556977984, 0.051666666666666666, 0.024166666666666666, 0.06063791096886819]"
0,0,"[0.99, 0.006666666666666667, 0.0025, 0.0008333333333333334]"
3,3,"[0.1568261428912485, 0.2531823515043901, 0.17086290282780814, 0.4191286027765532]"
0,0,"[0.8949768945521339, 0.017985428571322317, 0.08106991879512826, 0.005967758081415441]"
1,1,"[0.1849483639959513, 0.3787529481885991, 0.18472404648377114, 0.25157464133167856]"
0,3,"[0.31911894120611783, 0.20582249840307063, 0.13001547071097486, 0.34504308967983666]"
3,3,"[0.1796475724372364, 0.0059500708027972835, 0.005004338647308498, 0.8093980181126578]"
1,1,"[0.30948331760231035, 0.49443191575748235, 0.025321856842818496, 0.1707629097973888]"
0,0,"[0.9646294480382854, 0.019211699997105643, 0.004002063430384893, 0.012156788534224168]"
0,0,"[0.8119989776055427, 0.015021573588513198, 0.05526024466931794, 0.11771920413662611]"
1,1,"[0.013680844406629762, 0.9623494891095848, 0.015322136219070739, 0.008647530264714683]"
0,0,"[0.9231030529917458, 0.03590109510858367, 0.015, 0.02599585189967057]"
0,0,"[0.7411243777625726, 0.21507756010811013, 0.006696952840033616, 0.0371011092892837]"
0,0,"[0.9983077140591657, 0.0008484160052922885, 0.0008438699355420277, 0.0]"
3,3,"[0.021963138899901084, 0.027438411376557288, 0.011373649184939529, 0.9392248005386022]"
1,0,"[0.5114419228742604, 0.26671425844966545, 0.16363155873366986, 0.05821225994240422]"
1,1,"[0.3900062216334456, 0.43105295757200374, 0.1256074874612173, 0.05333333333333334]"
0,0,"[0.9749277191719343, 0.008638349541368598, 0.0005307010468090352, 0.01590323023988833]"
2,2,"[0.020833333333333332, 0.005833333333333334, 0.9691666666666666, 0.004166666666666667]"
2,2,"[0.0008804543963988543, 0.0, 0.9982862122702678, 0.0008333333333333334]"
0,0,"[0.6961577072408103, 0.028975121252442452, 0.2673671715067474, 0.0075]"
0,0,"[0.843747243412132, 0.062090706661171745, 0.016914012469039768, 0.07724803745765643]"
2,2,"[0.015833333333333335, 0.0025, 0.98, 0.0016666666666666668]"
3,3,"[0.14508267638610095, 0.041893650070757626, 0.030051689822396692, 0.7829719837207448]"
2,2,"[0.05020366647520582, 0.016666666666666666, 0.9331296668581274, 0.0]"
0,0,"[0.5925276274917225, 0.3005325858874318, 0.030492252809853446, 0.07644753381099222]"
0,0,"[0.896438248861535, 0.02954408740773534, 0.010861415603717318, 0.0631562481270123]"
1,0,"[0.4687946985202569, 0.18032691147955796, 0.016823372851788605, 0.33405501714839647]"
0,0,"[0.9294014589910898, 0.029443993359195116, 0.03773582287549124, 0.0034187247742237248]"
0,0,"[0.49259074140276216, 0.30465737936410187, 0.08064914814783597, 0.12210273108530025]"
0,0,"[0.9647490256233667, 0.007138050526427705, 0.018670776591909462, 0.009442147258295869]"
2,2,"[0.029507150353111744, 0.03057395287958115, 0.9257522301006404, 0.014166666666666666]"
3,3,"[0.2728058465603078, 0.1659195800337904, 0.0760246392994619, 0.4852499341064398]"
0,0,"[0.6238746795000563, 0.15996770749668837, 0.09257276860128355, 0.12358484440197179]"
3,3,"[0.048937129058590434, 0.036251443583051726, 0.01837984542617269, 0.8964315819321852]"
1,1,"[0.06948900070068981, 0.8056941390590382, 0.05096112569098183, 0.07385573454929006]"
0,0,"[0.9775712169285032, 0.014816911649474029, 0.004191861438833735, 0.003420009983189081]"
1,1,"[0.03297649066272108, 0.9494101491164796, 0.010044142772539635, 0.007569217448259635]"
2,2,"[0.0325, 0.005833333333333334, 0.9508333333333333, 0.010833333333333334]"
0,0,"[0.7266666666666667, 0.16083333333333333, 0.059166666666666666, 0.05333333333333334]"
0,0,"[0.9747442224372647, 0.018510713267538784, 0.005025194772167068, 0.001719869523029384]"
3,1,"[0.26531680851703965, 0.44272229393360174, 0.07081147438772853, 0.2211494231616302]"
0,0,"[0.8324873883357204, 0.07417927833094619, 0.060833333333333336, 0.0325]"
1,0,"[0.6310861596951066, 0.2564019289587308, 0.014651435233528565, 0.0978604761126341]"
3,3,"[0.35692427882522176, 0.01672409654171401, 0.02006527360774391, 0.6062863510253204]"
0,0,"[0.9202089743349133, 0.03418917237856727, 0.023298749290749255, 0.022303103995769912]"
3,3,"[0.052513679563403685, 0.049227206500670175, 0.0075, 0.8907591139359261]"
0,0,"[0.9831890924483647, 0.005896340325244952, 0.006677203268875361, 0.004237363957514953]"
0,0,"[0.7841191355831111, 0.03756776177525034, 0.1708131026416386, 0.0075]"
3,0,"[0.5309655149326566, 0.03760565200539395, 0.01767874629738812, 0.4137500867645612]"
1,1,"[0.02785633905548868, 0.9599250048818109, 0.0034374948378390665, 0.008781161224861484]"
0,0,"[0.8902124125116674, 0.07110204266124516, 0.02337202180247668, 0.015313523024610956]"
3,3,"[0.06904318172272829, 0.08211714658940873, 0.00818439325794019, 0.8406552784299227]"
0,0,"[0.9431063347215833, 0.041835136967836466, 0.011666666666666667, 0.0033918616439134993]"
0,3,"[0.32978364051611203, 0.030028803602103853, 0.006678244170872135, 0.6335093117109121]"
0,0,"[0.9424464736708938, 0.014202673038603866, 0.006666666666666667, 0.03668418662383567]"
0,0,"[0.8244575010195662, 0.02934560535107483, 0.13684351011784154, 0.009353383511517542]"
0,0,"[0.9308712389130153, 0.0294203134524096, 0.03300756385702506, 0.0067008837775499475]"
0,0,"[0.9885800628303426, 0.006564295623254846, 0.0017185507328241986, 0.0031370908135783413]"
0,0,"[0.9966389909241237, 0.0025, 0.0008610090758763459, 0.0]"
3,3,"[0.022648921036406297, 0.01265881129023643, 0.005899204992386945, 0.9587930626809706]"
2,2,"[0.012570036189630946, 0.010782796082831786, 0.9733138343942039, 0.0033333333333333335]"
3,3,"[0.07151915772930781, 0.025813318320053267, 0.011043552192323603, 0.8916239717583151]"
0,0,"[0.9613379017043824, 0.0034223570111682725, 0.03523974128444911, 0.0]"
2,2,"[0.04170929254072249, 0.015833333333333335, 0.9374573741259441, 0.005]"
1,1,"[0.18905689162793082, 0.5121682897874761, 0.225800398281206, 0.07297442030338686]"
0,0,"[0.8028474438382157, 0.11268845626869047, 0.009014909340741678, 0.07544919055235187]"
0,0,"[0.8692973714914936, 0.07156481547598625, 0.050384615166601796, 0.008753197865918393]"
0,0,"[1.0, 0.0, 0.0, 0.0]"
0,0,"[0.9174342314098997, 0.020946370335487328, 0.05644802562721414, 0.00517137262739861]"
0,0,"[0.5908862966766942, 0.13992447444986006, 0.04345354598170978, 0.22573568289173598]"
0,0,"[0.8333030079256472, 0.10310434863142344, 0.009361009956401227, 0.05423163348652832]"
3,3,"[0.0493354054530151, 0.0442056214460964, 0.0566755192507887, 0.8497834538500998]"
1,1,"[0.38673110789861737, 0.4799700108779971, 0.0640088316785877, 0.06929004954479785]"
0,0,"[0.967472324257457, 0.028333333333333332, 0.003361009075876346, 0.0008333333333333334]"
1,1,"[0.22420908137436987, 0.6931805305003903, 0.028779207241245053, 0.05383118088399473]"
0,0,"[0.9629581611940569, 0.018578338377177928, 0.011360996767862822, 0.007102503660902354]"
0,0,"[0.9396001437217363, 0.01718080337037164, 0.0018772412182357012, 0.04134181168965645]"
1,1,"[0.151202836076318, 0.4844442803842233, 0.11445364018715486, 0.24989924335230385]"
1,1,"[0.033202560450635424, 0.9566010342889198, 0.005101023944341383, 0.005095381316103323]"
3,3,"[0.1565610968649088, 0.01151078505761606, 0.009502690473420524, 0.822425427604055]"
0,0,"[0.8184177753309256, 0.07505078303124253, 0.05683429628502258, 0.0496971453528093]"
2,0,"[0.6429082192780035, 0.12589785483522128, 0.11952725922010865, 0.11166666666666666]"
1,1,"[0.26116722823224153, 0.3876778471862552, 0.09768640750315247, 0.2534685170783509]"
2,2,"[0.0525, 0.015833333333333335, 0.9258333333333333, 0.005833333333333334]"
2,2,"[0.21540594979423267, 0.0675, 0.585, 0.1320940502057673]"
2,2,"[0.08020366647520583, 0.045, 0.8681296668581274, 0.006666666666666667]"
0,0,"[0.6854916479655012, 0.005863217076827488, 0.004166666666666667, 0.30447846829100444]"
0,0,"[0.8260790411000647, 0.025, 0.10892095889993532, 0.04]"
0,0,"[0.8890426362163881, 0.03902794108483348, 0.031567523431514255, 0.04036189926726421]"
3,3,"[0.0425, 0.050833333333333335, 0.0025, 0.9041666666666667]"
3,3,"[0.12197490733998888, 0.039776190034023606, 0.010542554816946327, 0.8277063478090411]"
0,0,"[0.44486854357923494, 0.4206804451188324, 0.10310709343126012, 0.03134391787067251]"
1,0,"[0.4903865660057945, 0.4710230449618816, 0.012786521980491645, 0.0258038670518323]"
2,2,"[0.008333333333333333, 0.005833333333333334, 0.985, 0.0008333333333333334]"
2,2,"[0.06817040950486478, 0.053131509657678065, 0.8758726370533424, 0.002825443784114703]"
1,1,"[0.12349049825625302, 0.7722055639892235, 0.00978058709046254, 0.09452335066406044]"
0,0,"[0.6451168210210481, 0.1965496798587094, 0.02003592405090417, 0.13829757506933835]"
1,1,"[0.12680176720461195, 0.7728446467575499, 0.04083333333333333, 0.05952025270450472]"
1,1,"[0.15192379452381127, 0.7763523330843854, 0.024713931022801658, 0.047009941369001676]"
0,0,"[0.940339912923161, 0.04569192436236416, 0.005867297856261194, 0.008100864858213486]"
1,1,"[0.2740982560719155, 0.6680905561637269, 0.0017325990148464147, 0.056078588749511236]"
0,0,"[0.9146726548710544, 0.02959702229385922, 0.012619735736325523, 0.043110587098760735]"
1,1,"[0.13770961015440966, 0.7450967900146409, 0.0665521825863045, 0.05064141724464503]"
0,0,"[0.9999743807258323, 1.5082671958955174e-05, 1.0536602208694302e-05, 0.0]"
2,2,"[0.028333333333333332, 0.0025, 0.9641666666666666, 0.005]"
0,0,"[0.9975, 0.0008333333333333334, 0.0008333333333333334, 0.0008333333333333334]"
2,0,"[0.4365043584954956, 0.11270025380720698, 0.29121872866371784, 0.15957665903357957]"
0,0,"[0.8559232836805241, 0.05344923794541662, 0.00515722290113315, 0.08547025547292589]"
3,3,"[0.1283429888924582, 0.04697924899058761, 0.027242596992354453, 0.7974351651245997]"
3,3,"[0.15780851858798328, 0.1893289625449962, 0.05350828850471478, 0.5993542303623057]"
0,1,"[0.24813503066579803, 0.6026259008844659, 0.04422052500202123, 0.10501854344771472]"
1,1,"[0.0022327734202534405, 0.9951387182487046, 0.00018767320764851776, 0.002440835123393525]"
3,3,"[0.11184537056575211, 0.03858533936263021, 0.015892191496774566, 0.8336770985748432]"
0,0,"[0.9653318175047841, 0.0086116630620514, 0.00421944952228572, 0.021837069910878932]"
2,0,"[0.7042012322458842, 0.012636908673599031, 0.2831157491273123, 4.6109953204331786e-05]"
0,0,"[0.961435519701926, 0.009864397868398102, 0.01070595343721619, 0.01799412899245985]"
0,0,"[0.9821333386223003, 0.008653315814509798, 0.001677203268875361, 0.007536142294314492]"
2,2,"[0.08770887324137465, 0.08194836007394464, 0.6458333333333334, 0.1845094333513474]"
0,0,"[0.8295381637019239, 0.05928953537220574, 0.04090610785955458, 0.07026619306631579]"
1,1,"[0.3018269824960469, 0.6311587992837802, 0.030962350605869656, 0.03605186761430338]"
0,0,"[0.9771543619463327, 0.008872354487181128, 0.01292579229678531, 0.0010474912697008537]"
3,3,"[0.06208986971419499, 0.11972075342350837, 0.008392261997976923, 0.8097971148643197]"
3,3,"[0.10564795746870827, 0.0480369271363251, 0.06509029342225947, 0.781224821972707]"
3,3,"[0.005942255081231466, 0.014188271868795089, 0.004171005313975165, 0.9756984677359982]"
3,0,"[0.5445389198358127, 0.10339151488536191, 0.07048745282382395, 0.2815821124550014]"
1,1,"[0.22603288027031604, 0.44570892188859146, 0.09922863653537987, 0.22902956130571264]"
0,0,"[0.8088452808023315, 0.11129382978952108, 0.02897411570747329, 0.05088677370067388]"
0,0,"[0.9630336932923298, 0.0201910144293224, 0.002510536602208694, 0.014264755676139046]"
0,0,"[0.9709021464223074, 0.01087776109241862, 0.013487473184143912, 0.004732619301130112]"
0,0,"[0.8614397319585341, 0.026914200830679455, 0.10331273387745314, 0.008333333333333333]"
1,1,"[0.2528197191504054, 0.5846626330292679, 0.13067097055606597, 0.03184667726426065]"
2,2,"[0.03666666666666667, 0.010833333333333334, 0.9491666666666667, 0.0033333333333333335]"
0,0,"[0.8301727576001079, 0.033064069802600876, 0.014434476342371081, 0.1223286962549201]"
0,0,"[0.6845134705051265, 0.06239091381788502, 0.020833333333333332, 0.2322622823436552]"
3,3,"[0.06630509631578607, 0.265860233884843, 0.04498924426997832, 0.6228454255293927]"
0,0,"[0.7533059381890272, 0.024181110630209463, 0.0250100904069638, 0.19750286077379953]"
0,0,"[0.9010145364628869, 0.03588441949303599, 0.041416857420241426, 0.021684186623835665]"
1,1,"[0.2007232743259591, 0.6833284222867914, 0.013818191802074515, 0.10213011158517488]"
0,0,"[0.6343686908111149, 0.16811680983690214, 0.08425548682557436, 0.11325901252640866]"
0,0,"[0.5806866148746472, 0.18532740831964348, 0.10273321458114702, 0.13125276222456234]"
0,0,"[0.9227152354744551, 0.06121441707373432, 0.011666666666666667, 0.004403680785143973]"
0,0,"[0.9999449770471873, 4.448635060390492e-05, 1.0536602208694302e-05, 0.0]"
1,0,"[0.8212947783331941, 0.08553794337056307, 0.051058618868418296, 0.04210865942782448]"
0,0,"[0.9104344633048291, 0.029800604023934908, 0.03471408736963524, 0.025050845301600712]"
3,3,"[0.10543875424147457, 0.25707804309747473, 0.03423099099692334, 0.6032522116641272]"
2,2,"[0.11803257580339953, 0.13538193722278075, 0.6549123740605388, 0.0916731129132809]"
3,3,"[0.04080469052275378, 0.015355709557088017, 0.007928687716445426, 0.9359109122037129]"
0,0,"[0.5397207468777282, 0.20646927864233186, 0.1067533525137217, 0.1470566219662183]"
3,3,"[0.25335905075703063, 0.2001460138908378, 0.041806834290183205, 0.5046881010619486]"
1,1,"[0.0692942445116848, 0.9140390888216486, 0.01, 0.006666666666666667]"
0,0,"[0.610657539874542, 0.1906099725849552, 0.03976731916683499, 0.15896516837366784]"
0,0,"[0.9177896473814448, 0.020386981869271056, 0.03833333333333333, 0.023490037415951067]"
1,1,"[0.0009923054777844552, 0.9989549248651904, 1.9566326986731046e-05, 3.3203330038287986e-05]"
3,3,"[0.0913178446355379, 0.15577203959050748, 0.03885514084887574, 0.7140549749250789]"
2,2,"[0.3476756315120823, 0.25326417344301777, 0.3897750854840709, 0.009285109560829058]"
3,3,"[0.3427700321644026, 0.08570593898682885, 0.030547173558296427, 0.5409768552904721]"
1,1,"[0.0454243390536459, 0.9318564697788319, 0.018735257063175973, 0.003983934104346712]"
1,1,"[0.03222752799235009, 0.9553395426470399, 0.00890905500655688, 0.0035238743540529235]"
0,0,"[0.682502806681003, 0.06333954391173456, 0.11250433864730852, 0.14165331075995388]"
3,3,"[0.4137398828292483, 0.038390059945937735, 0.004179018970697386, 0.5436910382541167]"
1,1,"[0.02871408757071612, 0.9406454986257375, 0.005910686410697432, 0.024729727392849257]"
3,3,"[0.10591648100991259, 0.03183825320237529, 0.01269111611023823, 0.8495541496774744]"
1,1,"[0.14193937285726552, 0.5277776137175567, 0.14911757885399765, 0.18116543457118017]"
1,1,"[0.13512903531355472, 0.7823268604674081, 0.03443342063411718, 0.04811068358492024]"
1,1,"[0.42841119196500993, 0.5412409248900664, 0.015211815768551731, 0.015136067376372058]"
1,1,"[0.14317105691645926, 0.8336957181443648, 0.003010703295669906, 0.020122521643506034]"
0,0,"[0.9775857710615842, 0.015608427990708733, 0.0009724676143737652, 0.005833333333333334]"
1,1,"[0.2591198008677059, 0.4417663079793533, 0.033289514613811376, 0.2658243765391293]"
0,0,"[0.8392868531532085, 0.06571314684679154, 0.07833333333333334, 0.016666666666666666]"
3,3,"[0.1937798484888821, 0.13914085155488304, 0.05452017941843495, 0.6125591205377999]"
3,3,"[0.048573276400970054, 0.07184233968679217, 0.013758288608489686, 0.865826095303748]"
1,1,"[0.08209106442384766, 0.8101781254522658, 0.05010083064928359, 0.05762997947460307]"
0,0,"[0.5725459488823195, 0.28737495977879135, 0.10536070400868033, 0.03471838733020882]"
1,1,"[0.06636141968004551, 0.9154488073696905, 0.003110969516752881, 0.015078803433511055]"
1,1,"[0.18125634224064224, 0.597414680612825, 0.04716231047986612, 0.17416666666666666]"
1,1,"[0.25114296899344063, 0.6138604070600749, 0.08210276339335096, 0.052893860553133616]"
1,1,"[0.038346448283016005, 0.9124249856478653, 0.02818625620135602, 0.02104230986776258]"
0,0,"[0.9158333333333334, 0.034166666666666665, 0.041666666666666664, 0.008333333333333333]"
0,0,"[0.9966666666666667, 0.0025, 0.0, 0.0008333333333333334]"
2,2,"[0.22761773946055816, 0.1694012602277972, 0.5745468725909753, 0.02843412772066948]"
1,1,"[0.14842122697549517, 0.6731748101390389, 0.08217043226345896, 0.09623353062200694]"
0,0,"[0.9907147117225323, 0.000881257653285998, 0.0033333333333333335, 0.0050706972908482854]"
0,0,"[0.7836720279752137, 0.043599687060563774, 0.017119080994886217, 0.15560920396933609]"
1,1,"[0.32631757099863923, 0.6051251841893682, 0.04116838948191684, 0.027388855330075956]"
3,3,"[0.07182273228686045, 0.18266041328416016, 0.15201077667303875, 0.5935060777559408]"
1,1,"[0.16613338903110525, 0.6021322577491924, 0.1833438541262051, 0.04839049909349722]"
0,0,"[0.6124431279358613, 0.19567588690347384, 0.0362119655872111, 0.15566901957345378]"
0,0,"[0.6361643659858491, 0.01953851001464456, 0.029983817847146158, 0.31431330615236014]"
0,0,"[0.7179413579329159, 0.129208720434268, 0.12903688713415165, 0.023813034498664495]"
3,3,"[0.18700335364355125, 0.1115557571295834, 0.03243284330833627, 0.669008045918529]"
3,3,"[0.050608970046783795, 0.035064143871953266, 0.005914750707906306, 0.9084121353733565]"
3,3,"[0.052525224396580444, 0.077458173940927, 0.010007617424613004, 0.8600089842378796]"
0,0,"[0.81329075085219, 0.055015281899489094, 0.10669396724832084, 0.025]"
1,1,"[0.15091406526960988, 0.7711154401757822, 0.04329391222763016, 0.03467658232697772]"
0,0,"[0.9075159637826731, 0.008138489468400754, 0.08183157995943628, 0.0025139667894898718]"
3,3,"[0.04691367334048826, 0.007282213071677687, 0.004296041408517753, 0.9415080721793164]"
0,3,"[0.2127096154646415, 0.2160891412875651, 0.17427688941414535, 0.39692435383364805]"
0,0,"[0.9622940666541548, 0.02865703940678907, 0.0025, 0.006548893939055922]"
0,0,"[0.6940397297200941, 0.1807956372006103, 0.0961448509660713, 0.029019782113224164]"
1,1,"[0.025144060992452748, 0.9602692937161301, 0.004166666666666667, 0.01041997862475047]"
3,3,"[0.10519086417579564, 0.0662653060242166, 0.013339085092988636, 0.8152047447069992]"
0,0,"[0.8356299717435185, 0.10884391138221938, 0.012584252357100412, 0.04294186451716171]"
3,0,"[0.4716954101816104, 0.2101556968454543, 0.2539330309746172, 0.06421586199831802]"
0,0,"[0.9150583701521846, 0.041608296514482085, 0.010833333333333334, 0.0325]"
1,1,"[0.3232603435080869, 0.5681356153867244, 0.04978059742634106, 0.05882344367884751]"
0,0,"[0.6445115131040516, 0.1465411891801931, 0.09055533081835047, 0.11839196689740483]"
3,0,"[0.3649101783271929, 0.22264990438544652, 0.07842213371280908, 0.33401778357455153]"
0,0,"[0.8893443700731484, 0.05015098822395152, 0.0025, 0.05800464170289996]"
2,2,"[0.055923592768591796, 0.013333333333333334, 0.924076407231408, 0.006666666666666667]"
0,0,"[0.9738458608581588, 0.015197780077564659, 0.005903156207913896, 0.005053202856362717]"
0,0,"[0.9508077140591656, 0.019181749338625622, 0.008343869935542028, 0.021666666666666667]"
0,0,"[0.9108604812997322, 0.03854395333773549, 0.021666666666666667, 0.028928898695865537]"
1,1,"[0.02526441929433071, 0.9644819638967917, 0.00552001999747022, 0.004733596811407153]"
0,0,"[0.5913982579504016, 0.2375173901454763, 0.030473844094892944, 0.14061050780922932]"
2,2,"[0.03367930941485947, 0.020865762193563623, 0.9418516446385456, 0.0036032837530312473]"
0,0,"[0.8243150616115121, 0.0375, 0.09235160505515454, 0.04583333333333333]"
