True_Label,Predicted_Label,Class_Probabilities
2,2,"[0.002577312947120495, 0.0008333333333333334, 0.9965760220415877, 1.333167795868655e-05]"
1,1,"[0.015017253224698735, 0.9774827467753014, 0.004166666666666667, 0.0033333333333333335]"
0,0,"[0.6357464869801333, 0.12340166234043531, 0.14418518401276478, 0.09666666666666666]"
2,2,"[0.07013580749224024, 0.060833333333333336, 0.8440175274964677, 0.025013331677958685]"
2,2,"[0.005833333333333334, 0.019166666666666665, 0.9425, 0.0325]"
2,2,"[0.0025, 0.0125, 0.9758333333333333, 0.009166666666666667]"
0,0,"[0.4975640546025696, 0.011862651370299553, 0.4739066273604643, 0.016666666666666666]"
2,2,"[0.030869212410501192, 0.1128173374613003, 0.7938134501281986, 0.0625]"
3,3,"[0.15, 0.0375, 0.041666666666666664, 0.7708333333333334]"
2,2,"[0.0125, 0.004166666666666667, 0.9808333333333333, 0.0025]"
1,1,"[0.0030849546303424566, 0.9964149411056421, 0.00040247538817690426, 9.762887583846146e-05]"
2,1,"[0.015842605843801684, 0.4251753442142741, 0.2628593485733893, 0.29612270136853486]"
2,2,"[0.042508277890100754, 0.059166666666666666, 0.6918143998265243, 0.2065106556167082]"
3,3,"[0.025851483710861184, 0.1866485162891388, 0.0975, 0.69]"
1,3,"[0.005052251572663711, 0.20694905589876994, 0.003566493145967972, 0.7844321993825986]"
0,0,"[0.82, 0.050833333333333335, 0.08416666666666667, 0.045]"
2,2,"[0.009254333373220826, 0.024166666666666666, 0.807595377901484, 0.15898362205862857]"
2,2,"[0.0033333333333333335, 0.005, 0.9916666666666667, 0.0]"
0,0,"[0.940329448405861, 0.025211683616163008, 0.011125534644642665, 0.023333333333333334]"
1,1,"[0.17694889162561575, 0.5855511083743843, 0.14166666666666666, 0.09583333333333334]"
3,3,"[0.09969889567263232, 0.12940125487390278, 0.12173785792361982, 0.6491619915298451]"
0,0,"[0.8941666666666667, 0.016666666666666666, 0.050833333333333335, 0.03833333333333333]"
1,1,"[0.10557392898401304, 0.8574989695072804, 0.022677291774032753, 0.014249809734673746]"
2,2,"[0.1025545080976553, 0.14393557531221682, 0.6393432499234613, 0.11416666666666667]"
0,0,"[0.936629112937279, 0.020033934935921743, 0.035836952126799285, 0.0075]"
0,0,"[0.47648696160759146, 0.20543345962401224, 0.04624854508310914, 0.2718310336852871]"
0,0,"[0.9958121269182353, 9.700795788070205e-06, 0.004178172285976582, 0.0]"
0,0,"[0.8105777555592611, 0.08608891110740546, 0.06166666666666667, 0.041666666666666664]"
0,0,"[0.8596313263205394, 0.11098511223162745, 0.014311337494369697, 0.015072223953463472]"
0,0,"[0.9682219985477633, 0.007595960329158086, 0.023348707789745123, 0.0008333333333333334]"
0,0,"[0.49066442620648965, 0.39155904193059865, 0.0901489264031279, 0.027627605459783783]"
3,3,"[0.15664037431343117, 0.007298782596691723, 0.00798687802734985, 0.8280739650625275]"
3,3,"[0.036679441627914505, 0.13790263214732684, 0.045950223158948256, 0.7794677030658107]"
2,2,"[0.07178254458879901, 0.020933528836754645, 0.8956172599077797, 0.011666666666666667]"
1,1,"[0.007507517527166077, 0.9591407157509702, 0.02, 0.013351766721863854]"
2,2,"[0.052537460135787376, 0.1843425226972197, 0.662504772371537, 0.10061524479545589]"
3,3,"[0.049998413044548884, 0.04378765783921962, 0.0467497013294189, 0.8594642277868126]"
2,2,"[0.2836261619378477, 0.06583333333333333, 0.608040504728819, 0.0425]"
2,2,"[0.0016666666666666668, 0.009166666666666667, 0.9866666666666667, 0.0025]"
3,0,"[0.5113563169664148, 0.16369784910016433, 0.09282809448635082, 0.23211773944707015]"
2,2,"[0.06991585136933096, 0.057495408696274404, 0.8091666666666667, 0.06342207326772797]"
0,0,"[0.9899367833617502, 0.005884260839877091, 0.004178955798372688, 0.0]"
0,3,"[0.2793111038489891, 0.2216849350181071, 0.05614060616010203, 0.4428633549728018]"
3,0,"[0.6741347297554476, 0.07669860357788562, 0.0725, 0.17666666666666667]"
0,0,"[0.8427414021164021, 0.02666666666666667, 0.09, 0.040591931216931214]"
0,0,"[0.7724624462706123, 0.09503393493592174, 0.11833695212679927, 0.014166666666666666]"
0,0,"[0.7269122069337695, 0.21855235837319384, 0.020368768026370006, 0.034166666666666665]"
1,1,"[0.013539474035440157, 0.9820493631313547, 0.0008333333333333334, 0.0035778294998718542]"
0,0,"[0.9661539123040974, 0.026342468902436654, 0.0033369521267992888, 0.004166666666666667]"
0,0,"[0.982496381206534, 0.006666666666666667, 0.005003618793465955, 0.005833333333333334]"
3,3,"[0.027520064775341992, 0.010734955755368421, 0.0024003850197756517, 0.9593445944495144]"
0,0,"[0.9458351351082172, 0.03970929463093673, 0.009411333246021236, 0.005044237014824845]"
1,1,"[0.03338090966338741, 0.936503048341439, 0.02673094670284763, 0.003385095292325857]"
0,0,"[0.9744017748101669, 0.007532054150702403, 0.01723283770579723, 0.0008333333333333334]"
3,1,"[0.12678037586953234, 0.49939847554675365, 0.1858754366051613, 0.18794571197855275]"
1,1,"[0.33891363974204647, 0.4095848256256762, 0.08000630090353231, 0.17149523372874503]"
0,3,"[0.24994018467866616, 0.07908255269280098, 0.0338901323806913, 0.6370871302478415]"
0,0,"[0.9151555425615289, 0.055919192888206695, 0.0125, 0.01642526455026455]"
1,1,"[0.024166666666666666, 0.9458333333333333, 0.0125, 0.0175]"
0,0,"[0.7963492641464437, 0.052817402520223086, 0.08416666666666667, 0.06666666666666667]"
0,0,"[0.9782282030462358, 0.010065741148817394, 0.005039389138280082, 0.006666666666666667]"
0,0,"[0.999996381206534, 0.0, 3.6187934659550397e-06, 0.0]"
3,2,"[0.12534184351437067, 0.09954794682301356, 0.6117139454123759, 0.16339626425023995]"
1,1,"[0.0875, 0.835, 0.03666666666666667, 0.04083333333333333]"
1,1,"[0.10017815957579491, 0.6651912644796082, 0.18543104468153618, 0.04919953126306072]"
1,1,"[0.3495697590924539, 0.5382615511621325, 0.04729753695379126, 0.06487115279162244]"
2,2,"[0.006666666666666667, 0.013333333333333334, 0.9775, 0.0025]"
2,2,"[0.011597703558677125, 0.013691017095639732, 0.9638779460123501, 0.010833333333333334]"
0,0,"[0.8658333333333333, 0.0925, 0.023333333333333334, 0.018333333333333333]"
0,0,"[0.7983070151945688, 0.12464378637894188, 0.015244329165628697, 0.061804869260860616]"
2,2,"[0.07416666666666667, 0.06833333333333333, 0.8241666666666667, 0.03333333333333333]"
3,3,"[0.042915063850793495, 0.0275, 0.1092585674810231, 0.8203263686681834]"
2,2,"[0.0033333333333333335, 0.0025, 0.9908333333333333, 0.0033333333333333335]"
0,0,"[0.7425, 0.1225, 0.0825, 0.0525]"
0,0,"[0.9202589303358165, 0.052219144105714384, 0.00918859222513586, 0.018333333333333333]"
2,2,"[0.015, 0.03333333333333333, 0.925, 0.02666666666666667]"
1,1,"[0.03601694851972836, 0.5776970565057152, 0.25838602204553457, 0.1278999729290218]"
0,0,"[0.9760746006623141, 0.015373037656939944, 0.0035523616807459292, 0.005]"
1,1,"[0.026934448661383666, 0.4771859233881735, 0.08255424014500426, 0.4133253878054383]"
3,3,"[0.2079736740386746, 0.1334837644715056, 0.023432046244288275, 0.6351105152455314]"
3,3,"[0.16001936219779933, 0.20601314636676146, 0.042719050540711345, 0.591248440894728]"
0,0,"[0.46337606620045846, 0.24586344626564, 0.11501683102450204, 0.17574365650939952]"
3,3,"[0.07505243236142127, 0.08870128388501555, 0.04933975386486639, 0.7869065298886968]"
2,0,"[0.4110986464436409, 0.10721777504105091, 0.3475585713818265, 0.13412500713348172]"
1,1,"[0.04275466640557017, 0.5323334300535341, 0.20338499199340188, 0.2215269115474939]"
1,0,"[0.561975835677789, 0.2689592005001568, 0.11989829715538744, 0.049166666666666664]"
2,2,"[0.014166666666666666, 0.008333333333333333, 0.9733333333333334, 0.004166666666666667]"
0,0,"[0.8166666666666667, 0.03166666666666667, 0.10083333333333333, 0.050833333333333335]"
1,1,"[0.3767667567185694, 0.5446544810278522, 0.02850586524264841, 0.050072897010930144]"
3,3,"[0.06984834255417163, 0.29988875193161446, 0.03507706045475442, 0.5951858450594595]"
0,0,"[0.9074362938854854, 0.04336726826925508, 0.0375297711785927, 0.011666666666666667]"
2,2,"[0.06834314103112785, 0.2730489325139143, 0.43872631141419843, 0.21988161504075943]"
3,3,"[0.17262185126203755, 0.030838906592319346, 0.04502899427064408, 0.751510247874999]"
0,0,"[0.9482899895495059, 0.019200922607911383, 0.017509087842582708, 0.015]"
3,3,"[0.005852898659160868, 0.0025, 0.004166666666666667, 0.9874804346741726]"
0,0,"[0.8627280454850654, 0.02130515349297703, 0.050966801021957636, 0.065]"
1,0,"[0.6040174782456886, 0.28829760379468583, 0.03424217432447745, 0.07344274363514829]"
3,0,"[0.46311155300094514, 0.2102340481171548, 0.12087228559006467, 0.20578211329183535]"
2,2,"[0.033342340412493204, 0.1335081417624521, 0.7625071497435459, 0.07064236808150873]"
0,0,"[0.9498716385297867, 0.03084390328396753, 0.01595112485291231, 0.0033333333333333335]"
3,3,"[0.23301175728536966, 0.06711949598735162, 0.2476971696006058, 0.452171577126673]"
1,0,"[0.5035146653533334, 0.40878531671269536, 0.05183480737306537, 0.03586521056090589]"
0,1,"[0.07776143942117511, 0.8259301162430409, 0.028599023275492796, 0.06770942106029135]"
0,0,"[0.9242104399923358, 0.05328956000766435, 0.005833333333333334, 0.016666666666666666]"
1,1,"[0.3923414433150447, 0.42581350191835554, 0.11, 0.07184505476659975]"
1,1,"[0.03798503533941531, 0.9526349093615373, 0.009307831345584232, 7.222395346347182e-05]"
1,1,"[0.01527720939222086, 0.6968950494541503, 0.023011798995486315, 0.2648159421581426]"
0,0,"[0.8079199043111613, 0.10839703498755349, 0.014180765209019161, 0.06950229549226608]"
3,3,"[0.0650054456479575, 0.05416666666666667, 0.026762203900013083, 0.8540656837853627]"
2,2,"[0.34632377164276507, 0.08937171941712523, 0.42379925389932194, 0.14050525504078784]"
3,3,"[0.11671373390890688, 0.10656806339180573, 0.03041790477728765, 0.7463002979220001]"
0,0,"[0.8359392865138954, 0.039101134305595274, 0.04666666666666667, 0.07829291251384274]"
2,2,"[0.006716046949590505, 0.004166666666666667, 0.9857839530504097, 0.0033333333333333335]"
2,2,"[0.02836631375778816, 0.07416666666666667, 0.8497215487170224, 0.04774547085852282]"
0,0,"[0.9449577613937752, 0.011466735739818582, 0.024364599184914675, 0.01921090368149151]"
0,0,"[0.6157068366723975, 0.13233811257844838, 0.1227883840824875, 0.12916666666666668]"
0,0,"[0.999055233507278, 9.125720183873545e-05, 2.0175957549981203e-05, 0.0008333333333333334]"
1,0,"[0.5530539618326132, 0.2672680890100032, 0.07134461582405027, 0.10833333333333334]"
0,0,"[0.6592783514721977, 0.18392991972633435, 0.12620990333787513, 0.030581825463592883]"
0,0,"[0.4695677047934037, 0.365232239022618, 0.1093404969209261, 0.055859559263052236]"
3,3,"[0.024098822823944068, 0.050220773926303544, 0.19121710901186595, 0.7344632942378865]"
1,1,"[0.09465548255093219, 0.7429934655160363, 0.06982304364369009, 0.0925280082893417]"
0,0,"[0.9756491562400288, 0.01766565974720639, 0.004185184012764762, 0.0025]"
2,2,"[0.03421364708928666, 0.03666666666666667, 0.8857730212327548, 0.04334666501129202]"
1,1,"[0.112281751300211, 0.800362411016605, 0.07055728824253009, 0.01679854944065372]"
1,1,"[0.30563341397762483, 0.615527201301415, 0.02681830901768483, 0.05202107570327493]"
1,0,"[0.4763092242491977, 0.2631464826137825, 0.20721095980368653, 0.05333333333333334]"
1,1,"[0.11981907304558156, 0.7511223387958718, 0.04184551514310694, 0.08721307301543968]"
3,3,"[0.164930869050547, 0.236213591868525, 0.10718273548329699, 0.4916728035976311]"
0,0,"[0.9299076424868061, 0.020080601850248108, 0.048345088996279165, 0.0016666666666666668]"
2,0,"[0.45416666666666666, 0.0575, 0.44666666666666666, 0.041666666666666664]"
1,1,"[0.1683943450391921, 0.4725, 0.06333333333333334, 0.2957723216274746]"
2,2,"[0.004166666666666667, 0.0033333333333333335, 0.9875, 0.005]"
2,2,"[0.32943376051270623, 0.09003669835736237, 0.43915325423152674, 0.14137628689840473]"
2,2,"[0.008333333333333333, 0.0075, 0.9816666666666667, 0.0025]"
0,0,"[0.7925, 0.06416666666666666, 0.11083333333333334, 0.0325]"
0,0,"[0.39315052080068824, 0.12476337906109541, 0.0900518195964442, 0.3920342805417721]"
0,0,"[0.865, 0.06333333333333334, 0.03916666666666667, 0.0325]"
3,3,"[0.10107522961827796, 0.07053817238873264, 0.03503464720172784, 0.7933519507912616]"
3,0,"[0.7816789344514333, 0.03833333333333333, 0.07670561892339801, 0.10328211329183533]"
1,1,"[0.015842920693357878, 0.9241570793066421, 0.028333333333333332, 0.03166666666666667]"
2,2,"[0.021666666666666667, 0.2830119214586255, 0.36916666666666664, 0.3261547452080411]"
2,2,"[0.014166666666666666, 0.008333333333333333, 0.9758333333333333, 0.0016666666666666668]"
2,2,"[0.019166666666666665, 0.018333333333333333, 0.9483333333333334, 0.014166666666666666]"
2,2,"[0.15770587728912017, 0.10834587162817992, 0.6670494452354692, 0.0668988058472308]"
0,0,"[0.6977414021164021, 0.13083333333333333, 0.1075, 0.06392526455026455]"
1,1,"[0.18302651968959732, 0.7545241427332161, 0.03991893516366389, 0.022530402413522596]"
2,2,"[0.020869212410501194, 0.04833333333333333, 0.9282974542561654, 0.0025]"
0,0,"[0.8608333333333333, 0.029166666666666667, 0.1, 0.01]"
1,1,"[0.0016666666666666668, 0.9966666666666667, 0.0008333333333333334, 0.0008333333333333334]"
0,0,"[0.7558333333333334, 0.1625, 0.0425, 0.03916666666666667]"
1,1,"[0.26777083077226355, 0.6391810229520029, 0.056274349872071784, 0.036773796403661796]"
0,0,"[0.9991630478732006, 0.0, 3.6187934659550397e-06, 0.0008333333333333334]"
2,2,"[0.0016666666666666668, 0.0008333333333333334, 0.9958333333333333, 0.0016666666666666668]"
0,0,"[0.999996381206534, 0.0, 3.6187934659550397e-06, 0.0]"
2,2,"[0.055069736216912635, 0.021666666666666667, 0.9157635971164207, 0.0075]"
0,0,"[0.7680599674200774, 0.046106699246589285, 0.12333333333333334, 0.0625]"
3,3,"[0.2601127824903775, 0.07049055442723365, 0.023654354273814238, 0.6457423088085747]"
3,3,"[0.0058875312235993175, 0.4438771647530391, 0.06626558440832782, 0.48396971961503366]"
0,0,"[0.4666666666666667, 0.27166666666666667, 0.19083333333333333, 0.07083333333333333]"
1,1,"[0.028363971746177198, 0.9491360282538229, 0.006666666666666667, 0.015833333333333335]"
3,3,"[0.25755752561071704, 0.08823389021479713, 0.2975994431185362, 0.3566091410559496]"
0,0,"[0.7276753205362962, 0.06703329278870253, 0.1252913866750013, 0.08]"
2,2,"[0.059586616589009225, 0.003323251616254816, 0.9370901317947359, 0.0]"
0,0,"[0.9647659518828452, 0.02690071478382148, 0.0025, 0.005833333333333334]"
0,0,"[0.8470107480654601, 0.11629431110236202, 0.02750691462004126, 0.009188026212136598]"
2,2,"[0.049166666666666664, 0.03910931406285845, 0.8975573526038083, 0.014166666666666666]"
0,0,"[0.987481166328253, 0.00418188154494764, 0.006670285460132622, 0.0016666666666666668]"
2,2,"[0.03594342645247148, 0.012334254564733051, 0.8874591305277572, 0.06426318845503835]"
0,0,"[0.8830851936000641, 0.03833960315987639, 0.040241869906726194, 0.03833333333333333]"
3,3,"[0.035, 0.0275, 0.0275, 0.91]"
3,3,"[0.07979133609457836, 0.023731498059971046, 0.018275303509815547, 0.8782018623356355]"
3,3,"[0.024229950604876073, 0.016666666666666666, 0.01336660121348377, 0.9457367815149734]"
3,1,"[0.015146243074662497, 0.6711358491732138, 0.026069276348615313, 0.28764863140350827]"
1,1,"[0.282176928376123, 0.5077978265776885, 0.12752524504618856, 0.0825]"
1,1,"[0.16555146259722017, 0.42337655863987145, 0.23590203431514364, 0.1751699444477647]"
0,0,"[0.7432878945979505, 0.13675252622154005, 0.0925, 0.027459579180509414]"
1,1,"[0.23267304666957808, 0.4579101253691493, 0.1111327249278969, 0.19828410303337574]"
0,0,"[0.4644080687830688, 0.10666666666666667, 0.03916666666666667, 0.3897585978835979]"
2,2,"[0.008414486503413587, 0.007512538294846572, 0.9613408360211758, 0.02273213918056413]"
2,2,"[0.0375, 0.0175, 0.9416666666666667, 0.0033333333333333335]"
0,0,"[0.9152589002510928, 0.055198603826416365, 0.01037582925582414, 0.019166666666666665]"
1,1,"[0.061737618025936886, 0.5883532871662174, 0.26666666666666666, 0.08324242814117909]"
3,3,"[0.042791057660657494, 0.04345749138861995, 0.14654690976570892, 0.7672045411850135]"
0,3,"[0.16844394603031665, 0.015240154871816791, 0.007635713599334223, 0.8086801854985324]"
0,0,"[0.7642536335477722, 0.11833333333333333, 0.060833333333333336, 0.05657969978556111]"
1,0,"[0.5035018941105808, 0.35615476422357956, 0.04689219076321598, 0.09345115090262364]"
1,1,"[0.011887324453408094, 0.9362701742867952, 0.009224953272396464, 0.04261754798740041]"
1,1,"[0.39028239652985514, 0.4473624098146328, 0.087083742229781, 0.07527145142573106]"
0,0,"[0.9449342667643068, 0.005936215262644662, 0.042462851306382, 0.006666666666666667]"
0,0,"[0.9959744779582366, 0.0016666666666666668, 0.0008333333333333334, 0.001525522041763341]"
1,1,"[0.09762098971993867, 0.4682745922517619, 0.11170459771880005, 0.32239982030949943]"
0,0,"[0.5669424666745339, 0.30409392937602786, 0.11920500606584042, 0.009758597883597883]"
3,3,"[0.08082898064000485, 0.10267063745344712, 0.2128899429101261, 0.603610438996422]"
3,3,"[0.20187650420064532, 0.025295127046078447, 0.05959309702861873, 0.7132352717246574]"
3,3,"[0.07300651528580593, 0.07423203449782513, 0.034708850713646495, 0.8180525995027224]"
0,0,"[0.7225, 0.095, 0.0725, 0.11]"
3,3,"[0.018497780029294558, 0.012620032783219758, 0.25801851348476085, 0.7108636737027247]"
1,1,"[0.12504537147190167, 0.5645211587377775, 0.06276740673157977, 0.24766606305874087]"
0,3,"[0.1775, 0.25690398786302554, 0.20166666666666666, 0.36392934547030775]"
1,0,"[0.515013986369647, 0.472486013630353, 0.0075, 0.005]"
1,1,"[0.07752214786629189, 0.8486806186654219, 0.03916666666666667, 0.03463056680161943]"
3,3,"[0.00443103991547804, 0.0178131687690016, 0.10805965749279446, 0.8696961338227258]"
2,2,"[0.009166666666666667, 0.0016666666666666668, 0.985, 0.004166666666666667]"
3,3,"[0.07683394459800945, 0.14974000024818354, 0.009322060137902474, 0.7641039950159044]"
2,2,"[0.024768502016939482, 0.05781583910883538, 0.7340317478766781, 0.1833839109975469]"
1,1,"[0.05, 0.8766666666666667, 0.0425, 0.030833333333333334]"
1,0,"[0.6069020378693661, 0.2563260074609195, 0.10756049099380126, 0.02921146367591314]"
3,1,"[0.026098240552336144, 0.4547980167446652, 0.19773520364594732, 0.3213685390570513]"
1,1,"[0.2587606411101566, 0.7145726922231767, 0.02, 0.006666666666666667]"
3,3,"[0.14792913026593657, 0.06889613339641842, 0.05183020122140468, 0.7313445351162405]"
1,1,"[0.22426166584035256, 0.5515716674929808, 0.14583333333333334, 0.07833333333333334]"
1,1,"[0.2016879914390732, 0.5433120085609269, 0.16416666666666666, 0.09083333333333334]"
1,1,"[0.09666666666666666, 0.6398834498834499, 0.1701165501165501, 0.09333333333333334]"
2,2,"[0.0575, 0.06916666666666667, 0.845, 0.028333333333333332]"
0,0,"[0.7969256715061822, 0.16952606637017958, 0.012714928790304923, 0.020833333333333332]"
1,1,"[0.0559540373102773, 0.6117549755758158, 0.21564327176753012, 0.11664771534637661]"
0,3,"[0.16316428366103042, 0.19312609016250312, 0.019431406793445405, 0.6242782193830211]"
3,3,"[0.09812630743235605, 0.28202149870227944, 0.1262469702874063, 0.4936052235779583]"
3,3,"[0.04193196257958703, 0.04516632415535245, 0.021426445330032694, 0.8914752679350277]"
1,1,"[0.00584085086049941, 0.9841407157509701, 0.005, 0.005018433388530519]"
1,1,"[0.002634967118018068, 0.6134394939646625, 0.10640175298058717, 0.2775237859367322]"
2,2,"[0.16416666666666666, 0.14833333333333334, 0.5233333333333333, 0.16416666666666666]"
1,0,"[0.44987834794634146, 0.23331557204914039, 0.23180608000451813, 0.085]"
1,1,"[0.03751423677500126, 0.9249673298364681, 0.016666666666666666, 0.020851766721863854]"
1,1,"[0.18583333333333332, 0.7708333333333334, 0.02666666666666667, 0.016666666666666666]"
0,0,"[0.55058526076398, 0.16699100107945986, 0.09087849472872969, 0.19154524342783052]"
0,0,"[1.0, 0.0, 0.0, 0.0]"
2,2,"[0.03833333333333333, 0.030833333333333334, 0.9033333333333333, 0.0275]"
2,0,"[0.40481576440056044, 0.0625, 0.13083333333333333, 0.4018509022661062]"
0,0,"[0.5021939911936851, 0.36269206534247583, 0.07760164604731319, 0.05751229741652576]"
0,0,"[0.7814611831999375, 0.1587997681662989, 0.03606697281995076, 0.023672075813812896]"
1,1,"[0.015376436647529943, 0.915081567027377, 0.03021450796561009, 0.03932748835948315]"
3,3,"[0.08959676749483923, 0.02337209544971944, 0.01890147433150934, 0.8681296627239319]"
1,1,"[0.011666666666666667, 0.9641666666666666, 0.0125, 0.011666666666666667]"
0,0,"[0.9046263579822145, 0.08774187738833882, 0.006798431296113317, 0.0008333333333333334]"
0,0,"[0.835617015133304, 0.03579696027693175, 0.045337919069501596, 0.08324810552026259]"
0,0,"[0.9874396249325419, 0.007560375067458176, 0.005, 0.0]"
3,3,"[0.009675425587256493, 0.0017052147013188782, 0.011943109348253076, 0.9766762503631715]"
3,3,"[0.004166666666666667, 0.3033213592994168, 0.13095911101713942, 0.5615528630167771]"
3,3,"[0.03919448837337003, 0.022506940931277822, 0.03833333333333333, 0.8999652373620188]"
0,0,"[0.644376502292925, 0.15663735310854218, 0.06750885801317348, 0.13147728658535934]"
1,1,"[0.07335373006168425, 0.6706169189684027, 0.09416666666666666, 0.16186268430324635]"
0,1,"[0.38958264729327846, 0.43804252532465077, 0.1365414940487375, 0.035833333333333335]"
3,2,"[0.12945311621644526, 0.10684158467757311, 0.5564849952323893, 0.2072203038735924]"
0,0,"[0.9691092648409582, 0.008377750913244112, 0.020846317579131, 0.0016666666666666668]"
0,0,"[0.9017445200895884, 0.05156503266527461, 0.03585711391180376, 0.010833333333333334]"
1,1,"[0.15621584363778965, 0.6046639677072649, 0.07883248817357118, 0.16028770048137436]"
2,2,"[0.13856014350453255, 0.18598778170316985, 0.6460405946086323, 0.029411480183665403]"
3,3,"[0.13095232716465605, 0.016530725618402915, 0.02754780159897819, 0.8249691456179629]"
0,0,"[0.8999503491161037, 0.02588298421722952, 0.06833333333333333, 0.005833333333333334]"
3,3,"[0.18444889162561576, 0.10805110837438425, 0.1375, 0.57]"
1,1,"[0.03203653151932126, 0.6266305699487668, 0.0549766356047239, 0.28635626292718797]"
2,2,"[0.21633476685463174, 0.09683398087186663, 0.6233762952235623, 0.0634549570499393]"
0,0,"[0.9708429315241401, 0.0008333333333333334, 0.008333333333333333, 0.019990401809193228]"
3,3,"[0.06083729879695521, 0.09916666666666667, 0.05751259100644461, 0.7824834435299335]"
1,3,"[0.014202755337894992, 0.2966650676994328, 0.02446967521823072, 0.6646625017444413]"
2,0,"[0.5891666666666666, 0.07083333333333333, 0.265, 0.075]"
0,0,"[0.9565037946190655, 0.008355113194884993, 0.00847442551938288, 0.02666666666666667]"
0,0,"[0.9649183546311731, 0.02418974456153465, 0.007558567473958924, 0.0033333333333333335]"
0,0,"[0.723462803723088, 0.22012907989592306, 0.03916666666666667, 0.01724144971432222]"
1,1,"[0.06571584347494464, 0.5049267826656714, 0.05549129882788722, 0.37386607503149655]"
0,0,"[0.6681742066187656, 0.1542544361101278, 0.15090469060443992, 0.02666666666666667]"
2,2,"[0.0025, 0.0, 0.9925, 0.005]"
1,1,"[0.10038419983826237, 0.5478516712028665, 0.13083333333333333, 0.22093079562553788]"
3,3,"[0.03860123392067668, 0.16769567386951126, 0.018539317004348698, 0.7751637752054635]"
3,1,"[0.33057502385317555, 0.5879928694707556, 0.027643073099098425, 0.053789033576970444]"
0,0,"[0.5342336746694115, 0.270564043501147, 0.17436894849610804, 0.020833333333333332]"
1,2,"[0.2100572477239281, 0.24334587162817992, 0.489096880647892, 0.0575]"
3,3,"[0.01036529132997268, 0.07182108078495962, 0.003437493316780776, 0.9143761345682871]"
3,0,"[0.5201810626321122, 0.03696396931807014, 0.13617477762399338, 0.30668019042582423]"
1,1,"[0.12565715493214658, 0.8282636247531181, 0.035, 0.011079220314735336]"
